119,"Central Equatoria","Kajo-keji","Lipi"
120,"Central Equatoria","Kajo-keji","Payawa"
121,"Central Equatoria","Morobo","Nunyarri"
122,"Central Equatoria","Kajo-keji","Lekr"
123,"Central Equatoria","Kajo-keji","Gurube"
124,"Central Equatoria","Kajo-keji","Mesika"
125,"Central Equatoria","Kajo-keji","Logu"
126,"Central Equatoria","Kajo-keji","Ajio"
127,"Central Equatoria","Kajo-keji","Lotonyo"
128,"Central Equatoria","Kajo-keji","Keriti"
129,"Central Equatoria","Kajo-keji","Kagwa"
130,"Central Equatoria","Yei","Pakujo"
131,"Central Equatoria","Kajo-keji","Saburi"
132,"Central Equatoria","Kajo-keji","Woro"
133,"Central Equatoria","Yei","Adunasi"
134,"Central Equatoria","Morobo","Loguduba"
135,"Central Equatoria","Yei","Liggi"
136,"Central Equatoria","Yei","Wadupe"
137,"Central Equatoria","Yei","Laiba"
138,"Central Equatoria","Kajo-keji","Nyigo"
139,"Central Equatoria","Kajo-keji","Kenyiba"
140,"Central Equatoria","Yei","Kejiko"
141,"Central Equatoria","Yei","Yari"
142,"Central Equatoria","Kajo-keji","Loropi"
143,"Central Equatoria","Morobo","Bala"
144,"Central Equatoria","Kajo-keji","Lomura"
145,"Central Equatoria","Kajo-keji","Pamuru"
146,"Central Equatoria","Yei","Goja"
147,"Central Equatoria","Kajo-keji","Wowoli"
148,"Central Equatoria","Kajo-keji","Boroboro"
149,"Central Equatoria","Kajo-keji","Longira"
150,"Central Equatoria","Kajo-keji","Weleta"
151,"Central Equatoria","Kajo-keji","Mangai"
152,"Central Equatoria","Kajo-keji","Mangord"
153,"Central Equatoria","Kajo-keji","Wokoi"
154,"Central Equatoria","Yei","Nyarabu"
155,"Central Equatoria","Kajo-keji","Tipere"
156,"Central Equatoria","Yei","Lui"
157,"Central Equatoria","Kajo-keji","Kasurak"
158,"Central Equatoria","Yei","Kabengere"
159,"Central Equatoria","Kajo-keji","Laropi"
160,"Central Equatoria","Kajo-keji","Wawali"
161,"Central Equatoria","Yei","Sosodi"
162,"Central Equatoria","Kajo-keji","Gungi"
163,"Central Equatoria","Yei","Baraba"
164,"Central Equatoria","Kajo-keji","Kajo Keji"
